,basin,date,well_ID,D,T,EC,pH,TH,TDS,Cl,NH4,NO3,SO4,TOC,As,Fe,Mn,X,Y,year,,,,,,
117,Jianan,8/16/2001,4210,5.678,30.5,1260,6.8,526,936,85.4,0.18,0.45,145,3.1,0.01,4.17,0.223,120.2488888,22.733412,2001,,,,,,
118,Jianan,4/2/2001,4210,5.694,27.4,1370,6.9,526,811,91.4,0.26,0.73,138,3.1,0.01,4.25,0.303,120.2488888,22.733412,2001,,,,,,
119,Jianan,6/11/2001,4210,5.694,28.3,1220,6.9,505,746,88.6,0.12,2.03,111,3.1,0.01,4.01,0.413,120.2488888,22.733412,2001,,,,,,
120,Jianan,11/20/2000,4210,5.678,26.9,1310,7,622,790,77,0.17,0.32,156,1,0.0084,7.33,0.16,120.2488888,22.733412,2000,,,,,,
121,Jianan,6/20/2000,4210,5.678,28,1300,6.9,550,790,99.1,0.13,0.53,119,6.8,0.0076,3.84,0.03,120.2488888,22.733412,2000,,,,,,
122,Jianan,11/23/2006,4210,5.971,27.1,1100,7,442,660,66.8,0.09,0.04,102,0.57,0.0064,2.34,0.184,120.2488888,22.733412,2006,,,,,,
123,Jianan,8/25/2006,4210,5.678,28.5,1080,6.9,523,822,95,0.1,0.07,126,0.45,0.0076,4.17,0.279,120.2488888,22.733412,2006,,,,,,
124,Jianan,5/26/2006,4210,5.994,28.2,1120,7,473,777,79.9,0.05,0.03,122,1.4,0.0108,1.2,0.294,120.2488888,22.733412,2006,,,,,,
125,Jianan,2/19/2006,4210,5.595,27.2,1010,7,409,624,64.8,0.03,0.03,88,0.69,0.0063,4.44,0.2,120.2488888,22.733412,2006,,,,,,
126,Jianan,11/13/2005,4210,5.854,28.1,1120,7,448,668,82.9,0.02,0.04,143,1.94,0.0119,4.56,0.202,120.2488888,22.733412,2005,,,,,,
127,Jianan,8/30/2005,4210,5.63,27.3,1170,6.9,512,790,90.6,0.08,0.01,129,2.38,0.0084,4.01,0.413,120.2488888,22.733412,2005,,,,,,
128,Jianan,5/30/2005,4210,6.121,28.4,1230,6.8,557,828,45,0.06,0.12,139,3.84,0.0099,4.58,0.106,120.2488888,22.733412,2005,,,,,,
129,Jianan,3/4/2005,4210,6.279,27.3,1150,6.8,583,765,48.6,0.03,0.09,108,3.45,0.0097,2.86,0.212,120.2488888,22.733412,2005,,,,,,
130,Jianan,11/22/2004,4210,5.917,27.4,1100,7,580,756,50.3,0.05,0.05,103,1.94,0.0078,2.38,0.295,120.2488888,22.733412,2004,,,,,,
131,Jianan,9/3/2004,4210,5.694,28.5,1220,6.9,538,710,59.1,0.08,0.05,115,2.39,0.0259,4.02,0.334,120.2488888,22.733412,2004,,,,,,
132,Jianan,6/8/2004,4210,5.914,29.4,1160,6.8,557,875,53.8,0.07,0.07,117,2.65,0.0076,3.99,0.223,120.2488888,22.733412,2004,,,,,,
133,Jianan,2/28/2004,4210,5.854,28.6,1230,6.9,544,730,54.5,0.03,0.05,130,3.2,0.012,5.71,0.207,120.2488888,22.733412,2004,,,,,,
134,Jianan,11/19/2003,4210,5.854,29.2,1180,7,543,753,50.3,0.05,0.09,117,2.56,0.0125,5.69,0.187,120.2488888,22.733412,2003,,,,,,
135,Jianan,9/1/2003,4210,5.593,27.8,1060,6.9,470,713,42.7,0.21,0.09,108,3.72,0.0102,11.7,2,120.2488888,22.733412,2003,,,,,,
136,Jianan,5/28/2003,4210,5.69,28,1050,6.8,507,790,42.4,0.09,0.16,113,1.33,0.0097,7.03,0.119,120.2488888,22.733412,2003,,,,,,
137,Jianan,3/8/2003,4210,5.798,27.2,1150,7,566,707,51.1,0.04,0.07,116,2.28,0.011,5.28,0.164,120.2488888,22.733412,2003,,,,,,
138,Jianan,11/28/2002,4210,6.045,26.7,1200,6.8,520,720,49.4,0.03,0.15,126,3.84,0.0075,2.94,0.22,120.2488888,22.733412,2002,,,,,,
139,Jianan,9/2/2002,4210,5.74,27.4,1190,6.9,566,741,57.6,0.06,0.62,129,1.63,0.0062,3.93,0.175,120.2488888,22.733412,2002,,,,,,
140,Jianan,6/4/2002,4210,5.694,27.2,1260,7,526,811,77.1,0.05,0.07,135,1.58,0.0079,4.01,0.303,120.2488888,22.733412,2002,,,,,,
141,Jianan,3/13/2002,4210,5.778,27.4,1316,6.8,357,574,60.9,0.03,0.67,69.5,1.13,0.0076,4.05,0.64,120.2488888,22.733412,2002,,,,,,
142,Jianan,10/3/2011,4210,5.715,28,1120,7,453,720,79.4,0.07,0.03,94.7,0.64,0.0059,4.2,0.382,120.2488888,22.733412,2011,,,,,,
143,Jianan,4/30/2011,4210,6.072,27.9,1150,7.1,458,755,83.9,0.04,0.01,97,0.83,0.0066,3.19,0.389,120.2488888,22.733412,2011,,,,,,
144,Jianan,10/24/2010,4210,5.558,28.1,1200,6.9,488,750,91.5,0.06,0.04,128,0.46,0.0064,4.31,0.446,120.2488888,22.733412,2010,,,,,,
145,Jianan,5/22/2010,4210,6.095,28.6,1160,6.9,497,820,105,0.04,0.01,128,0.51,0.0068,3.76,0.374,120.2488888,22.733412,2010,,,,,,
146,Jianan,10/10/2009,4210,5.73,28.2,1180,6.4,460,772,78.3,0.07,0.01,106,1.44,0.0031,5.47,0.446,120.2488888,22.733412,2009,,,,,,
147,Jianan,8/15/2009,4210,5.694,28.3,1220,7,505,802,106,0.06,0.03,122,2.16,0.0065,4.84,0.365,120.2488888,22.733412,2009,,,,,,
148,Jianan,5/19/2009,4210,6.024,28.2,1140,6.9,491,684,89.5,0.07,0.01,48.4,0.72,0.006,4.46,0.331,120.2488888,22.733412,2009,,,,,,
149,Jianan,1/16/2009,4210,5.953,27,1120,7,462,734,91.3,0.05,0.03,91.5,0.65,0.0058,3.69,0.193,120.2488888,22.733412,2009,,,,,,
150,Jianan,10/22/2008,4210,5.765,27.6,1070,6.9,448,736,61,0.07,0.04,98.2,1.03,0.0051,1.62,0.304,120.2488888,22.733412,2008,,,,,,
